kod	nazev	strom
05.10.1	Těžba černého uhlí	B/05/05.1/05.10.1/
05.10.2	Úprava černého uhlí	B/05/05.1/05.10.2/
05.10	Těžba a úprava černého uhlí	B/05/05.1/05.10/
05.20.1	Těžba hnědého uhlí, kromě lignitu	B/05/05.2/05.20.1/
05.20.2	Úprava hnědého uhlí, kromě lignitu	B/05/05.2/05.20.2/
05.20.3	Těžba lignitu	B/05/05.2/05.20.3/
05.20.4	Úprava lignitu	B/05/05.2/05.20.4/
05.20	Těžba a úprava hnědého uhlí	B/05/05.2/05.20/
06.10	Těžba ropy	B/06/06.1/06.10/
06.20	Těžba zemního plynu	B/06/06.2/06.20/
07.10.1	Těžba železných rud	B/07/07.1/07.10.1/
07.10.2	Úprava železných rud	B/07/07.1/07.10.2/
07.10	Těžba a úprava železných rud	B/07/07.1/07.10/
07.21.1	Těžba uranových a thoriových rud	B/07/07.2/07.21.1/
07.21.2	Úprava uranových a thoriových rud	B/07/07.2/07.21.2/
07.21	Těžba a úprava uranových a thoriových rud	B/07/07.2/07.21/
07.29.1	Těžba ostatních neželezných rud	B/07/07.2/07.29.1/
07.29.2	Úprava ostatních neželezných rud	B/07/07.2/07.29.2/
07.29	Těžba a úprava ostatních neželezných rud	B/07/07.2/07.29/
08.11	Dobývání kamene pro výtvarné nebo stavební účely, vápence, sádrovce, křídy a břidlice	B/08/08.1/08.11/
08.12	Provoz pískoven a štěrkopískoven; těžba jílů a kaolinu	B/08/08.1/08.12/
08.91	Těžba chemických minerálů a minerálů pro výrobu hnojiv	B/08/08.9/08.91/
08.92	Těžba rašeliny	B/08/08.9/08.92/
08.93	Těžba soli	B/08/08.9/08.93/
08.99	Ostatní těžba a dobývání j. n.	B/08/08.9/08.99/
09.10	Podpůrné činnosti při těžbě ropy a zemního plynu	B/09/09.1/09.10/
09.90	Podpůrné činnosti při ostatní těžbě a dobývání	B/09/09.9/09.90/
10.11	Zpracování a konzervování masa, kromě drůbežího	C/10/10.1/10.11/
10.12	Zpracování a konzervování drůbežího masa	C/10/10.1/10.12/
10.13	Výroba masných výrobků a výrobků z drůbežího masa	C/10/10.1/10.13/
10.20	Zpracování a konzervování ryb, korýšů a měkkýšů	C/10/10.2/10.20/
10.31	Zpracování a konzervování brambor	C/10/10.3/10.31/
10.32	Výroba ovocných a zeleninových šťáv	C/10/10.3/10.32/
10.39	Ostatní zpracování a konzervování ovoce a zeleniny	C/10/10.3/10.39/
10.41	Výroba olejů a tuků	C/10/10.4/10.41/
10.42	Výroba margarínu a podobných jedlých tuků	C/10/10.4/10.42/
10.51	Zpracování mléka, výroba mléčných výrobků a sýrů	C/10/10.5/10.51/
10.52	Výroba zmrzliny	C/10/10.5/10.52/
10.61	Výroba mlýnských výrobků	C/10/10.6/10.61/
10.62	Výroba škrobárenských výrobků	C/10/10.6/10.62/
10.71	Výroba pekařských a cukrářských výrobků, kromě trvanlivých	C/10/10.7/10.71/
10.72	Výroba sucharů a sušenek; výroba trvanlivých cukrářských výrobků	C/10/10.7/10.72/
10.73	Výroba makaronů, nudlí, kuskusu a podobných moučných výrobků	C/10/10.7/10.73/
10.81	Výroba cukru	C/10/10.8/10.81/
10.82	Výroba kakaa, čokolády a cukrovinek	C/10/10.8/10.82/
10.83	Zpracování čaje a kávy	C/10/10.8/10.83/
10.84	Výroba koření a aromatických výtažků	C/10/10.8/10.84/
10.85	Výroba hotových pokrmů	C/10/10.8/10.85/
10.86	Výroba homogenizovaných potravinářských přípravků a dietních potravin	C/10/10.8/10.86/
10.89	Výroba ostatních potravinářských výrobků j. n.	C/10/10.8/10.89/
10.91	Výroba průmyslových krmiv pro hospodářská zvířata	C/10/10.9/10.91/
10.92	Výroba průmyslových krmiv pro zvířata v zájmovém chovu	C/10/10.9/10.92/
11.01	Destilace, rektifikace a míchání lihovin	C/11/11.0/11.01/
11.02	Výroba vína z vinných hroznů	C/11/11.0/11.02/
11.03	Výroba jablečného vína a jiných ovocných vín	C/11/11.0/11.03/
11.04	Výroba ostatních nedestilovaných kvašených nápojů	C/11/11.0/11.04/
11.05	Výroba piva	C/11/11.0/11.05/
11.06	Výroba sladu	C/11/11.0/11.06/
11.07	Výroba nealkoholických nápojů; stáčení minerálních a ostatních vod do lahví	C/11/11.0/11.07/
12.00	Výroba tabákových výrobků	C/12/12.0/12.00/
13.10	Úprava a spřádání textilních vláken a příze	C/13/13.1/13.10/
13.20	Tkaní textilií	C/13/13.2/13.20/
13.30	Konečná úprava textilií	C/13/13.3/13.30/
13.91	Výroba pletených a háčkovaných materiálů	C/13/13.9/13.91/
13.92	Výroba konfekčních textilních výrobků, kromě oděvů	C/13/13.9/13.92/
13.93	Výroba koberců a kobercových předložek	C/13/13.9/13.93/
13.94	Výroba lan, provazů a síťovaných výrobků	C/13/13.9/13.94/
13.95	Výroba netkaných textilií a výrobků z nich, kromě oděvů	C/13/13.9/13.95/
13.96	Výroba ostatních technických a průmyslových textilií	C/13/13.9/13.96/
13.99	Výroba ostatních textilií j. n.	C/13/13.9/13.99/
14.11	Výroba kožených oděvů	C/14/14.1/14.11/
14.12	Výroba pracovních oděvů	C/14/14.1/14.12/
14.13	Výroba ostatních svrchních oděvů	C/14/14.1/14.13/
14.14	Výroba osobního prádla	C/14/14.1/14.14/
14.19	Výroba ostatních oděvů a oděvních doplňků	C/14/14.1/14.19/
14.20	Výroba kožešinových výrobků	C/14/14.2/14.20/
14.31	Výroba pletených a háčkovaných punčochových výrobků	C/14/14.3/14.31/
14.39	Výroba ostatních pletených a háčkovaných oděvů	C/14/14.3/14.39/
15.11	Činění a úprava usní (vyčiněných kůží); zpracování a barvení kožešin	C/15/15.1/15.11/
15.12	Výroba brašnářských, sedlářských a podobných výrobků	C/15/15.1/15.12/
15.20.1	Výroba obuvi s usňovým svrškem	C/15/15.2/15.20.1/
15.20.9	Výroba obuvi z ostatních materiálů	C/15/15.2/15.20.9/
15.20	Výroba obuvi	C/15/15.2/15.20/
16.10	Výroba pilařská a impregnace dřeva	C/16/16.1/16.10/
16.21	Výroba dýh a desek na bázi dřeva	C/16/16.2/16.21/
16.22	Výroba sestavených parketových podlah	C/16/16.2/16.22/
16.23	Výroba ostatních výrobků stavebního truhlářství a tesařství	C/16/16.2/16.23/
16.24	Výroba dřevěných obalů	C/16/16.2/16.24/
16.29	Výroba ostatních dřevěných, korkových, proutěných a slaměných výrobků, kromě nábytku	C/16/16.2/16.29/
17.11.1	Výroba chemických buničin	C/17/17.1/17.11.1/
17.11.2	Výroba mechanických vláknin	C/17/17.1/17.11.2/
17.11.3	Výroba ostatních papírenských vláknin	C/17/17.1/17.11.3/
17.11	Výroba buničiny	C/17/17.1/17.11/
17.12	Výroba papíru a lepenky	C/17/17.1/17.12/
17.21	Výroba vlnitého papíru a lepenky, papírových a lepenkových obalů	C/17/17.2/17.21/
17.22	Výroba domácích potřeb, hygienických a toaletních výrobků z papíru	C/17/17.2/17.22/
17.23	Výroba kancelářských potřeb z papíru	C/17/17.2/17.23/
17.24	Výroba tapet	C/17/17.2/17.24/
17.29	Výroba ostatních výrobků z papíru a lepenky	C/17/17.2/17.29/
18.11	Tisk novin	C/18/18.1/18.11/
18.12	Tisk ostatní, kromě novin	C/18/18.1/18.12/
18.13	Příprava tisku a digitálních dat	C/18/18.1/18.13/
18.14	Vázání a související činnosti	C/18/18.1/18.14/
18.20	Rozmnožování nahraných nosičů	C/18/18.2/18.20/
19.10	Výroba koksárenských produktů	C/19/19.1/19.10/
19.20	Výroba rafinovaných ropných produktů	C/19/19.2/19.20/
20.11	Výroba technických plynů	C/20/20.1/20.11/
20.12	Výroba barviv a pigmentů	C/20/20.1/20.12/
20.13	Výroba jiných základních anorganických chemických látek	C/20/20.1/20.13/
20.14.1	Výroba bioetanolu (biolihu) pro pohon motorů a pro výrobu směsí a komponent paliv pro pohon motorů	C/20/20.1/20.14.1/
20.14.9	Výroba ostatních základních organických chemických látek	C/20/20.1/20.14.9/
20.14	Výroba jiných základních organických chemických látek	C/20/20.1/20.14/
20.15	Výroba hnojiv a dusíkatých sloučenin	C/20/20.1/20.15/
20.16	Výroba plastů v primárních formách	C/20/20.1/20.16/
20.17	Výroba syntetického kaučuku v primárních formách	C/20/20.1/20.17/
20.20	Výroba pesticidů a jiných agrochemických přípravků	C/20/20.2/20.20/
20.30	Výroba nátěrových barev, laků a jiných nátěrových materiálů, tiskařských barev a tmelů	C/20/20.3/20.30/
20.41	Výroba mýdel a detergentů, čisticích a lešticích prostředků	C/20/20.4/20.41/
20.42	Výroba parfémů a toaletních přípravků	C/20/20.4/20.42/
20.51	Výroba výbušnin	C/20/20.5/20.51/
20.52	Výroba klihů	C/20/20.5/20.52/
20.53	Výroba vonných silic	C/20/20.5/20.53/
20.59.1	Výroba metylesterů a etylesterů mastných kyselin pro pohon motorů a pro výrobu směsí paliv pro pohon motorů	C/20/20.5/20.59.1/
20.59.9	Výroba jiných chemických výrobků j. n.	C/20/20.5/20.59.9/
20.59	Výroba ostatních chemických výrobků j. n.	C/20/20.5/20.59/
20.60	Výroba chemických vláken	C/20/20.6/20.60/
21.10	Výroba základních farmaceutických výrobků	C/21/21.1/21.10/
21.20	Výroba farmaceutických přípravků	C/21/21.2/21.20/
22.11	Výroba pryžových plášťů a duší; protektorování pneumatik	C/22/22.1/22.11/
22.19	Výroba ostatních pryžových výrobků	C/22/22.1/22.19/
22.21	Výroba plastových desek, fólií, hadic, trubek a profilů	C/22/22.2/22.21/
22.22	Výroba plastových obalů	C/22/22.2/22.22/
22.23	Výroba plastových výrobků pro stavebnictví	C/22/22.2/22.23/
22.29	Výroba ostatních plastových výrobků	C/22/22.2/22.29/
23.11	Výroba plochého skla	C/23/23.1/23.11/
23.12	Tvarování a zpracování plochého skla	C/23/23.1/23.12/
23.13	Výroba dutého skla	C/23/23.1/23.13/
23.14	Výroba skleněných vláken	C/23/23.1/23.14/
23.19	Výroba a zpracování ostatního skla vč. technického	C/23/23.1/23.19/
23.20	Výroba žáruvzdorných výrobků	C/23/23.2/23.20/
23.31	Výroba keramických obkládaček a dlaždic	C/23/23.3/23.31/
23.32	Výroba pálených zdicích materiálů, tašek, dlaždic a podobných výrobků	C/23/23.3/23.32/
23.41	Výroba keramických a porcelánových výrobků převážně pro domácnost a ozdobných předmětů	C/23/23.4/23.41/
23.42	Výroba keramických sanitárních výrobků	C/23/23.4/23.42/
23.43	Výroba keramických izolátorů a izolačního příslušenství	C/23/23.4/23.43/
23.44	Výroba ostatních technických keramických výrobků	C/23/23.4/23.44/
23.49	Výroba ostatních keramických výrobků	C/23/23.4/23.49/
23.51	Výroba cementu	C/23/23.5/23.51/
23.52	Výroba vápna a sádry	C/23/23.5/23.52/
23.61	Výroba betonových výrobků pro stavební účely	C/23/23.6/23.61/
23.62	Výroba sádrových výrobků pro stavební účely	C/23/23.6/23.62/
23.63	Výroba betonu připraveného k lití	C/23/23.6/23.63/
23.64	Výroba malt	C/23/23.6/23.64/
23.65	Výroba vláknitých cementů	C/23/23.6/23.65/
23.69	Výroba ostatních betonových, cementových a sádrových výrobků	C/23/23.6/23.69/
23.70	Řezání, tvarování a konečná úprava kamenů	C/23/23.7/23.70/
23.91	Výroba brusiv	C/23/23.9/23.91/
23.99	Výroba ostatních nekovových minerálních výrobků j. n.	C/23/23.9/23.99/
24.10.1	Výroba surového železa, oceli a feroslitin	C/24/24.1/24.10.1/
24.10.2	Výroba plochých výrobků (kromě pásky za studena)	C/24/24.1/24.10.2/
24.10.3	Tváření výrobků za tepla	C/24/24.1/24.10.3/
24.10	Výroba surového železa, oceli a feroslitin, plochých výrobků (kromě pásky za studena), tváření výrobků za tepla	C/24/24.1/24.10/
24.20	Výroba ocelových trub, trubek, dutých profilů a souvisejících potrubních tvarovek	C/24/24.2/24.20/
24.31	Tažení tyčí za studena	C/24/24.3/24.31/
24.32	Válcování ocelových úzkých pásů za studena	C/24/24.3/24.32/
24.33	Tváření ocelových profilů za studena	C/24/24.3/24.33/
24.34	Tažení ocelového drátu za studena	C/24/24.3/24.34/
24.41	Výroba a hutní zpracování drahých kovů	C/24/24.4/24.41/
24.42	Výroba a hutní zpracování hliníku	C/24/24.4/24.42/
24.43	Výroba a hutní zpracování olova, zinku a cínu	C/24/24.4/24.43/
24.44	Výroba a hutní zpracování mědi	C/24/24.4/24.44/
24.45	Výroba a hutní zpracování ostatních neželezných kovů	C/24/24.4/24.45/
24.46	Zpracování jaderného paliva	C/24/24.4/24.46/
24.51.1	Výroba odlitků z litiny s lupínkovým grafitem	C/24/24.5/24.51.1/
24.51.2	Výroba odlitků z litiny s kuličkovým grafitem	C/24/24.5/24.51.2/
24.51.9	Výroba ostatních odlitků z litiny	C/24/24.5/24.51.9/
24.51	Výroba odlitků z litiny	C/24/24.5/24.51/
24.52.1	Výroba odlitků z uhlíkatých ocelí	C/24/24.5/24.52.1/
24.52.2	Výroba odlitků z legovaných ocelí	C/24/24.5/24.52.2/
24.52	Výroba odlitků z oceli	C/24/24.5/24.52/
24.53	Výroba odlitků z lehkých neželezných kovů	C/24/24.5/24.53/
24.54	Výroba odlitků z ostatních neželezných kovů	C/24/24.5/24.54/
25.11	Výroba kovových konstrukcí a jejich dílů	C/25/25.1/25.11/
25.12	Výroba kovových dveří a oken	C/25/25.1/25.12/
25.21	Výroba radiátorů a kotlů k ústřednímu topení	C/25/25.2/25.21/
25.29	Výroba kovových nádrží a zásobníků	C/25/25.2/25.29/
25.30	Výroba parních kotlů, kromě kotlů pro ústřední topení	C/25/25.3/25.30/
25.40	Výroba zbraní a střeliva	C/25/25.4/25.40/
25.50	Kování, lisování, ražení, válcování a protlačování kovů; prášková metalurgie	C/25/25.5/25.50/
25.61	Povrchová úprava a zušlechťování kovů	C/25/25.6/25.61/
25.62	Obrábění	C/25/25.6/25.62/
25.71	Výroba nožířských výrobků	C/25/25.7/25.71/
25.72	Výroba zámků a kování	C/25/25.7/25.72/
25.73	Výroba nástrojů a nářadí	C/25/25.7/25.73/
25.91	Výroba ocelových sudů a podobných nádob	C/25/25.9/25.91/
25.92	Výroba drobných kovových obalů	C/25/25.9/25.92/
25.93	Výroba drátěných výrobků, řetězů a pružin	C/25/25.9/25.93/
25.94	Výroba spojovacích materiálů a spojovacích výrobků se závity	C/25/25.9/25.94/
25.99	Výroba ostatních kovodělných výrobků j. n.	C/25/25.9/25.99/
26.11	Výroba elektronických součástek	C/26/26.1/26.11/
26.12	Výroba osazených elektronických desek	C/26/26.1/26.12/
26.20	Výroba počítačů a periferních zařízení	C/26/26.2/26.20/
26.30	Výroba komunikačních zařízení	C/26/26.3/26.30/
26.40	Výroba spotřební elektroniky	C/26/26.4/26.40/
26.51	Výroba měřicích, zkušebních a navigačních přístrojů	C/26/26.5/26.51/
26.52	Výroba časoměrných přístrojů	C/26/26.5/26.52/
26.60	Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů	C/26/26.6/26.60/
26.70	Výroba optických a fotografických přístrojů a zařízení	C/26/26.7/26.70/
26.80	Výroba magnetických a optických médií	C/26/26.8/26.80/
27.11	Výroba elektrických motorů, generátorů a transformátorů	C/27/27.1/27.11/
27.12	Výroba elektrických rozvodných a kontrolních zařízení	C/27/27.1/27.12/
27.20	Výroba baterií a akumulátorů	C/27/27.2/27.20/
27.31	Výroba optických kabelů	C/27/27.3/27.31/
27.32	Výroba elektrických vodičů a kabelů j. n.	C/27/27.3/27.32/
27.33	Výroba elektroinstalačních zařízení	C/27/27.3/27.33/
27.40	Výroba elektrických osvětlovacích zařízení	C/27/27.4/27.40/
27.51	Výroba elektrických spotřebičů převážně pro domácnost	C/27/27.5/27.51/
27.52	Výroba neelektrických spotřebičů převážně pro domácnost	C/27/27.5/27.52/
27.90	Výroba ostatních elektrických zařízení	C/27/27.9/27.90/
28.11	Výroba motorů a turbín, kromě motorů pro letadla, automobily a motocykly	C/28/28.1/28.11/
28.12	Výroba hydraulických a pneumatických zařízení	C/28/28.1/28.12/
28.13	Výroba ostatních čerpadel a kompresorů	C/28/28.1/28.13/
28.14	Výroba ostatních potrubních armatur	C/28/28.1/28.14/
28.15	Výroba ložisek, ozubených kol, převodů a hnacích prvků	C/28/28.1/28.15/
28.21	Výroba pecí a hořáků pro topeniště	C/28/28.2/28.21/
28.22	Výroba zdvihacích a manipulačních zařízení	C/28/28.2/28.22/
28.23	Výroba kancelářských strojů a zařízení, kromě počítačů a periferních zařízení	C/28/28.2/28.23/
28.24	Výroba ručních mechanizovaných nástrojů	C/28/28.2/28.24/
28.25	Výroba průmyslových chladicích a klimatizačních zařízení	C/28/28.2/28.25/
28.29	Výroba ostatních strojů a zařízení pro všeobecné účely j. n.	C/28/28.2/28.29/
28.30	Výroba zemědělských a lesnických strojů	C/28/28.3/28.30/
28.41	Výroba kovoobráběcích strojů	C/28/28.4/28.41/
28.49	Výroba ostatních obráběcích strojů	C/28/28.4/28.49/
28.91	Výroba strojů pro metalurgii	C/28/28.9/28.91/
28.92	Výroba strojů pro těžbu, dobývání a stavebnictví	C/28/28.9/28.92/
28.93	Výroba strojů na výrobu potravin, nápojů a zpracování tabáku	C/28/28.9/28.93/
28.94	Výroba strojů na výrobu textilu, oděvních výrobků a výrobků z usní	C/28/28.9/28.94/
28.95	Výroba strojů a přístrojů na výrobu papíru a lepenky	C/28/28.9/28.95/
28.96	Výroba strojů na výrobu plastů a pryže	C/28/28.9/28.96/
28.99	Výroba ostatních strojů pro speciální účely j. n.	C/28/28.9/28.99/
29.10	Výroba motorových vozidel a jejich motorů	C/29/29.1/29.10/
29.20	Výroba karoserií motorových vozidel; výroba přívěsů a návěsů	C/29/29.2/29.20/
29.31	Výroba elektrického a elektronického zařízení pro motorová vozidla	C/29/29.3/29.31/
29.32	Výroba ostatních dílů a příslušenství pro motorová vozidla	C/29/29.3/29.32/
30.11	Stavba lodí a plavidel	C/30/30.1/30.11/
30.12	Stavba rekreačních a sportovních člunů	C/30/30.1/30.12/
30.20	Výroba železničních lokomotiv a vozového parku	C/30/30.2/30.20/
30.30	Výroba letadel a jejich motorů, kosmických lodí a souvisejících zařízení	C/30/30.3/30.30/
30.40	Výroba vojenských bojových vozidel	C/30/30.4/30.40/
30.91	Výroba motocyklů	C/30/30.9/30.91/
30.92	Výroba jízdních kol a vozíků pro invalidy	C/30/30.9/30.92/
30.99	Výroba ostatních dopravních prostředků a zařízení j. n.	C/30/30.9/30.99/
31.01	Výroba kancelářského nábytku a zařízení obchodů	C/31/31.0/31.01/
31.02	Výroba kuchyňského nábytku	C/31/31.0/31.02/
31.03	Výroba matrací	C/31/31.0/31.03/
31.09	Výroba ostatního nábytku	C/31/31.0/31.09/
32.11	Ražení mincí	C/32/32.1/32.11/
32.12	Výroba klenotů a příbuzných výrobků	C/32/32.1/32.12/
32.13	Výroba bižuterie a příbuzných výrobků	C/32/32.1/32.13/
32.20	Výroba hudebních nástrojů	C/32/32.2/32.20/
32.30	Výroba sportovních potřeb	C/32/32.3/32.30/
32.40	Výroba her a hraček	C/32/32.4/32.40/
32.50	Výroba lékařských a dentálních nástrojů a potřeb	C/32/32.5/32.50/
32.91	Výroba košťat a kartáčnických výrobků	C/32/32.9/32.91/
32.99	Ostatní zpracovatelský průmysl j. n.	C/32/32.9/32.99/
33.11	Opravy kovodělných výrobků	C/33/33.1/33.11/
33.12	Opravy strojů	C/33/33.1/33.12/
33.13	Opravy elektronických a optických přístrojů a zařízení	C/33/33.1/33.13/
33.14	Opravy elektrických zařízení	C/33/33.1/33.14/
33.15	Opravy a údržba lodí a člunů	C/33/33.1/33.15/
33.16	Opravy a údržba letadel a kosmických lodí	C/33/33.1/33.16/
33.17.1	Opravy a údržba kolejových vozidel	C/33/33.1/33.17.1/
33.17.9	Opravy a údržba ostatních dopravních prostředků a zařízení j. n. kromě kolejových vozidel	C/33/33.1/33.17.9/
33.17	Opravy a údržba ostatních dopravních prostředků a zařízení j. n.	C/33/33.1/33.17/
33.19	Opravy ostatních zařízení	C/33/33.1/33.19/
33.20	Instalace průmyslových strojů a zařízení	C/33/33.2/33.20/
35.11	Výroba elektřiny	D/35/35.1/35.11/
35.12	Přenos elektřiny	D/35/35.1/35.12/
35.13	Rozvod elektřiny	D/35/35.1/35.13/
35.14	Obchod s elektřinou	D/35/35.1/35.14/
35.21	Výroba plynu	D/35/35.2/35.21/
35.22	Rozvod plynných paliv prostřednictvím sítí	D/35/35.2/35.22/
35.23	Obchod s plynem prostřednictvím sítí	D/35/35.2/35.23/
35.30.1	Výroba tepla	D/35/35.3/35.30.1/
35.30.2	Rozvod tepla	D/35/35.3/35.30.2/
35.30.3	Výroba klimatizovaného vzduchu	D/35/35.3/35.30.3/
35.30.4	Rozvod klimatizovaného vzduchu	D/35/35.3/35.30.4/
35.30.5	Výroba chladicí vody	D/35/35.3/35.30.5/
35.30.6	Rozvod chladicí vody	D/35/35.3/35.30.6/
35.30.7	Výroba ledu	D/35/35.3/35.30.7/
35.30	Výroba a rozvod tepla a klimatizovaného vzduchu, výroba ledu	D/35/35.3/35.30/
36.00	Shromažďování, úprava a rozvod vody	E/36/36.0/36.00/
37.00	Činnosti související s odpadními vodami	E/37/37.0/37.00/
38.11	Shromažďování a sběr odpadů, kromě nebezpečných	E/38/38.1/38.11/
38.12	Shromažďování a sběr nebezpečných odpadů	E/38/38.1/38.12/
38.21	Odstraňování odpadů, kromě nebezpečných	E/38/38.2/38.21/
38.22	Odstraňování nebezpečných odpadů	E/38/38.2/38.22/
38.31	Demontáž vraků a vyřazených strojů a zařízení pro účely recyklace	E/38/38.3/38.31/
38.32	Úprava odpadů k dalšímu využití, kromě demontáže vraků, strojů a zařízení	E/38/38.3/38.32/
39.00	Sanace a jiné činnosti související s odpady	E/39/39.0/39.00/
41.10	Developerská činnost	F/41/41.1/41.10/
41.20.1	Výstavba bytových budov	F/41/41.2/41.20.1/
41.20.2	Výstavba nebytových budov	F/41/41.2/41.20.2/
41.20	Výstavba bytových a nebytových budov	F/41/41.2/41.20/
42.11	Výstavba silnic a dálnic	F/42/42.1/42.11/
42.12	Výstavba železnic a podzemních drah	F/42/42.1/42.12/
42.13	Výstavba mostů a tunelů	F/42/42.1/42.13/
42.21.1	Výstavba inženýrských sítí pro kapaliny	F/42/42.2/42.21.1/
42.21.2	Výstavba inženýrských sítí pro plyny	F/42/42.2/42.21.2/
42.21	Výstavba inženýrských sítí pro kapaliny a plyny	F/42/42.2/42.21/
42.22	Výstavba inženýrských sítí pro elektřinu a telekomunikace	F/42/42.2/42.22/
42.91	Výstavba vodních děl	F/42/42.9/42.91/
42.99	Výstavba ostatních staveb j. n.	F/42/42.9/42.99/
43.11	Demolice	F/43/43.1/43.11/
43.12	Příprava staveniště	F/43/43.1/43.12/
43.13	Průzkumné vrtné práce	F/43/43.1/43.13/
43.21	Elektrické instalace	F/43/43.2/43.21/
43.22	Instalace vody, odpadu, plynu, topení a klimatizace	F/43/43.2/43.22/
43.29	Ostatní stavební instalace	F/43/43.2/43.29/
43.31	Omítkářské práce	F/43/43.3/43.31/
43.32	Truhlářské práce	F/43/43.3/43.32/
43.33	Obkládání stěn a pokládání podlahových krytin	F/43/43.3/43.33/
43.34.1	Sklenářské práce	F/43/43.3/43.34.1/
43.34.2	Malířské a natěračské práce	F/43/43.3/43.34.2/
43.34	Sklenářské, malířské a natěračské práce	F/43/43.3/43.34/
43.39	Ostatní kompletační a dokončovací práce	F/43/43.3/43.39/
43.91	Pokrývačské práce	F/43/43.9/43.91/
43.99.1	Montáž a demontáž lešení a bednění	F/43/43.9/43.99.1/
43.99.9	Jiné specializované stavební činnosti j. n.	F/43/43.9/43.99.9/
43.99	Ostatní specializované stavební činnosti j. n.	F/43/43.9/43.99/
45.11	Obchod s automobily a jinými lehkými motorovými vozidly	G/45/45.1/45.11/
45.19	Obchod s ostatními motorovými vozidly, kromě motocyklů	G/45/45.1/45.19/
45.20	Opravy a údržba motorových vozidel, kromě motocyklů	G/45/45.2/45.20/
45.31	Velkoobchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů	G/45/45.3/45.31/
45.32	Maloobchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů	G/45/45.3/45.32/
45.40	Obchod, opravy a údržba motocyklů, jejich dílů a příslušenství	G/45/45.4/45.40/
46.11	Zprostředkování velkoobchodu a velkoobchod v zastoupení se základními zemědělskými produkty, živými zvířaty, textilními surovinami a polotovary	G/46/46.1/46.11/
46.12	Zprostředkování velkoobchodu a velkoobchod v zastoupení s palivy, rudami, kovy a průmyslovými chemikáliemi	G/46/46.1/46.12/
46.13	Zprostředkování velkoobchodu a velkoobchod v zastoupení se dřevem a stavebními materiály	G/46/46.1/46.13/
46.14	Zprostředkování velkoobchodu a velkoobchod v zastoupení se stroji, průmyslovým zařízením, loděmi a letadly	G/46/46.1/46.14/
46.15	Zprostředkování velkoobchodu a velkoobchod v zastoupení s nábytkem, železářským zbožím a potřebami převážně pro domácnost	G/46/46.1/46.15/
46.16	Zprostředkování velkoobchodu a velkoobchod v zastoupení s textilem, oděvy, kožešinami, obuví a koženými výrobky	G/46/46.1/46.16/
46.17	Zprostředkování velkoobchodu a velkoobchod v zastoupení s potravinami, nápoji, tabákem a tabákovými výrobky	G/46/46.1/46.17/
46.18.1	Zprostředkování velkoobchodu a velkoobchod v zastoupení s papírenskými výrobky	G/46/46.1/46.18.1/
46.18.9	Zprostředkování specializovaného velkoobchodu a velkoobchod v zastoupení s ostatními výrobky j. n.	G/46/46.1/46.18.9/
46.18	Zprostředkování specializovaného velkoobchodu a specializovaný velkoobchod v zastoupení s ostatními výrobky	G/46/46.1/46.18/
46.19	Zprostředkování nespecializovaného velkoobchodu a nespecializovaný velkoobchod v zastoupení	G/46/46.1/46.19/
46.21	Velkoobchod s obilím, surovým tabákem, osivy a krmivy	G/46/46.2/46.21/
46.22	Velkoobchod s květinami a jinými rostlinami	G/46/46.2/46.22/
46.23	Velkoobchod s živými zvířaty	G/46/46.2/46.23/
46.24	Velkoobchod se surovými kůžemi, kožešinami a usněmi	G/46/46.2/46.24/
46.31	Velkoobchod s ovocem a zeleninou	G/46/46.3/46.31/
46.32	Velkoobchod s masem a masnými výrobky	G/46/46.3/46.32/
46.33	Velkoobchod s mléčnými výrobky, vejci, jedlými oleji a tuky	G/46/46.3/46.33/
46.34	Velkoobchod s nápoji	G/46/46.3/46.34/
46.35	Velkoobchod s tabákovými výrobky	G/46/46.3/46.35/
46.36	Velkoobchod s cukrem, čokoládou a cukrovinkami	G/46/46.3/46.36/
46.37	Velkoobchod s kávou, čajem, kakaem a kořením	G/46/46.3/46.37/
46.38	Specializovaný velkoobchod s jinými potravinami, včetně ryb, korýšů a měkkýšů	G/46/46.3/46.38/
46.39	Nespecializovaný velkoobchod s potravinami, nápoji a tabákovými výrobky	G/46/46.3/46.39/
46.41	Velkoobchod s textilem	G/46/46.4/46.41/
46.42.1	Velkoobchod s oděvy	G/46/46.4/46.42.1/
46.42.2	Velkoobchod s obuví	G/46/46.4/46.42.2/
46.42	Velkoobchod s oděvy a obuví	G/46/46.4/46.42/
46.43	Velkoobchod s elektrospotřebiči a elektronikou	G/46/46.4/46.43/
46.44.1	Velkoobchod s porcelánovými, keramickými a skleněnými výrobky	G/46/46.4/46.44.1/
46.44.2	Velkoobchod s pracími a čisticími prostředky	G/46/46.4/46.44.2/
46.44	Velkoobchod s porcelánovými, keramickými a skleněnými výrobky a čisticími prostředky	G/46/46.4/46.44/
46.45	Velkoobchod s kosmetickými výrobky	G/46/46.4/46.45/
46.46	Velkoobchod s farmaceutickými výrobky	G/46/46.4/46.46/
46.47	Velkoobchod s nábytkem, koberci a svítidly	G/46/46.4/46.47/
46.48	Velkoobchod s hodinami, hodinkami a klenoty	G/46/46.4/46.48/
