kod	nazev	strom
24.1	Výroba surového železa, oceli a feroslitin, plochých výrobků (kromě pásky za studena), tváření výrobků za tepla	C/24/24.1/
24.2	Výroba ocelových trub, trubek, dutých profilů a souvisejících potrubních tvarovek	C/24/24.2/
24.3	Výroba ostatních výrobků získaných jednostupňovým zpracováním oceli	C/24/24.3/
24.4	Výroba a hutní zpracování drahých a neželezných kovů	C/24/24.4/
24.5	Slévárenství	C/24/24.5/
25.1	Výroba konstrukčních kovových výrobků	C/25/25.1/
25.2	Výroba radiátorů a kotlů k ústřednímu topení, kovových nádrží a zásobníků	C/25/25.2/
25.3	Výroba parních kotlů, kromě kotlů pro ústřední topení	C/25/25.3/
25.4	Výroba zbraní a střeliva	C/25/25.4/
25.5	Kování, lisování, ražení, válcování a protlačování kovů; prášková metalurgie	C/25/25.5/
25.6	Povrchová úprava a zušlechťování kovů; obrábění	C/25/25.6/
25.7	Výroba nožířských výrobků, nástrojů a železářských výrobků	C/25/25.7/
25.9	Výroba ostatních kovodělných výrobků	C/25/25.9/
26.1	Výroba elektronických součástek a desek	C/26/26.1/
26.2	Výroba počítačů a periferních zařízení	C/26/26.2/
26.3	Výroba komunikačních zařízení	C/26/26.3/
26.4	Výroba spotřební elektroniky	C/26/26.4/
26.5	Výroba měřicích, zkušebních a navigačních přístrojů; výroba časoměrných přístrojů	C/26/26.5/
26.6	Výroba ozařovacích, elektroléčebných a elektroterapeutických přístrojů	C/26/26.6/
26.7	Výroba optických a fotografických přístrojů a zařízení	C/26/26.7/
26.8	Výroba magnetických a optických médií	C/26/26.8/
27.1	Výroba elektrických motorů, generátorů, transformátorů a elektrických rozvodných a kontrolních zařízení	C/27/27.1/
27.2	Výroba baterií a akumulátorů	C/27/27.2/
27.3	Výroba optických a elektrických kabelů, elektrických vodičů a elektroinstalačních zařízení	C/27/27.3/
27.4	Výroba elektrických osvětlovacích zařízení	C/27/27.4/
27.5	Výroba spotřebičů převážně pro domácnost	C/27/27.5/
27.9	Výroba ostatních elektrických zařízení	C/27/27.9/
28.1	Výroba strojů a zařízení pro všeobecné účely	C/28/28.1/
28.2	Výroba ostatních strojů a zařízení pro všeobecné účely	C/28/28.2/
28.3	Výroba zemědělských a lesnických strojů	C/28/28.3/
28.4	Výroba kovoobráběcích a ostatních obráběcích strojů	C/28/28.4/
28.9	Výroba ostatních strojů pro speciální účely	C/28/28.9/
29.1	Výroba motorových vozidel a jejich motorů	C/29/29.1/
29.2	Výroba karoserií motorových vozidel; výroba přívěsů a návěsů	C/29/29.2/
29.3	Výroba dílů a příslušenství pro motorová vozidla a jejich motory	C/29/29.3/
30.1	Stavba lodí a člunů	C/30/30.1/
30.2	Výroba železničních lokomotiv a vozového parku	C/30/30.2/
30.3	Výroba letadel a jejich motorů, kosmických lodí a souvisejících zařízení	C/30/30.3/
30.4	Výroba vojenských bojových vozidel	C/30/30.4/
30.9	Výroba dopravních prostředků a zařízení j. n.	C/30/30.9/
31.0	Výroba nábytku	C/31/31.0/
32.1	Výroba klenotů, bižuterie a příbuzných výrobků	C/32/32.1/
32.2	Výroba hudebních nástrojů	C/32/32.2/
32.3	Výroba sportovních potřeb	C/32/32.3/
32.4	Výroba her a hraček	C/32/32.4/
32.5	Výroba lékařských a dentálních nástrojů a potřeb	C/32/32.5/
32.9	Zpracovatelský průmysl j. n.	C/32/32.9/
33.1	Opravy kovodělných výrobků, strojů a zařízení	C/33/33.1/
33.2	Instalace průmyslových strojů a zařízení	C/33/33.2/
35.1	Výroba, přenos a rozvod elektřiny	D/35/35.1/
35.2	Výroba plynu; rozvod plynných paliv prostřednictvím sítí	D/35/35.2/
35.3	Výroba a rozvod tepla a klimatizovaného vzduchu, výroba ledu	D/35/35.3/
36.0	Shromažďování, úprava a rozvod vody	E/36/36.0/
37.0	Činnosti související s odpadními vodami	E/37/37.0/
38.1	Shromažďování a sběr odpadů	E/38/38.1/
38.2	Odstraňování odpadů	E/38/38.2/
38.3	Úprava odpadů k dalšímu využití	E/38/38.3/
39.0	Sanace a jiné činnosti související s odpady	E/39/39.0/
41.1	Developerská činnost	F/41/41.1/
41.2	Výstavba bytových a nebytových budov	F/41/41.2/
42.1	Výstavba silnic a železnic	F/42/42.1/
42.2	Výstavba inženýrských sítí	F/42/42.2/
42.9	Výstavba ostatních staveb	F/42/42.9/
43.1	Demolice a příprava staveniště	F/43/43.1/
43.2	Elektroinstalační, instalatérské a ostatní stavebně instalační práce	F/43/43.2/
43.3	Kompletační a dokončovací práce	F/43/43.3/
43.9	Ostatní specializované stavební činnosti	F/43/43.9/
45.1	Obchod s motorovými vozidly, kromě motocyklů	G/45/45.1/
45.2	Opravy a údržba motorových vozidel, kromě motocyklů	G/45/45.2/
45.3	Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů	G/45/45.3/
45.4	Obchod, opravy a údržba motocyklů, jejich dílů a příslušenství	G/45/45.4/
46.1	Zprostředkování velkoobchodu a velkoobchod v zastoupení	G/46/46.1/
46.2	Velkoobchod se základními zemědělskými produkty a živými zvířaty	G/46/46.2/
46.3	Velkoobchod s potravinami, nápoji a tabákovými výrobky	G/46/46.3/
46.4	Velkoobchod s výrobky převážně pro domácnost	G/46/46.4/
46.5	Velkoobchod s počítačovým a komunikačním zařízením	G/46/46.5/
46.6	Velkoobchod s ostatními stroji, strojním zařízením a příslušenstvím	G/46/46.6/
46.7	Ostatní specializovaný velkoobchod	G/46/46.7/
46.9	Nespecializovaný velkoobchod	G/46/46.9/
47.1	Maloobchod v nespecializovaných prodejnách	G/47/47.1/
47.2	Maloobchod s potravinami, nápoji a tabákovými výrobky ve specializovaných prodejnách	G/47/47.2/
47.3	Maloobchod s pohonnými hmotami ve specializovaných prodejnách	G/47/47.3/
47.4	Maloobchod s počítačovým a komunikačním zařízením ve specializovaných prodejnách	G/47/47.4/
47.5	Maloobchod s ostatními výrobky převážně pro domácnost ve specializovaných prodejnách	G/47/47.5/
47.6	Maloobchod s výrobky pro kulturní rozhled a rekreaci ve specializovaných prodejnách	G/47/47.6/
47.7	Maloobchod s ostatním zbožím ve specializovaných prodejnách	G/47/47.7/
47.8	Maloobchod ve stáncích a na trzích	G/47/47.8/
47.9	Maloobchod mimo prodejny, stánky a trhy	G/47/47.9/
49.1	Železniční osobní doprava meziměstská	H/49/49.1/
49.2	Železniční nákladní doprava	H/49/49.2/
49.3	Ostatní pozemní osobní doprava	H/49/49.3/
49.4	Silniční nákladní doprava a stěhovací služby	H/49/49.4/
49.5	Potrubní doprava	H/49/49.5/
50.1	Námořní a pobřežní osobní doprava	H/50/50.1/
50.2	Námořní a pobřežní nákladní doprava	H/50/50.2/
50.3	Vnitrozemská vodní osobní doprava	H/50/50.3/
50.4	Vnitrozemská vodní nákladní doprava	H/50/50.4/
51.1	Letecká osobní doprava	H/51/51.1/
51.2	Letecká nákladní doprava a kosmická doprava	H/51/51.2/
52.1	Skladování	H/52/52.1/
52.2	Vedlejší činnosti v dopravě	H/52/52.2/
53.1	Základní poštovní služby poskytované na základě poštovní licence	H/53/53.1/
53.2	Ostatní poštovní a kurýrní činnosti	H/53/53.2/
55.1	Ubytování v hotelích a podobných ubytovacích zařízeních	I/55/55.1/
55.2	Rekreační a ostatní krátkodobé ubytování	I/55/55.2/
55.3	Kempy a tábořiště	I/55/55.3/
55.9	Ostatní ubytování	I/55/55.9/
56.1	Stravování v restauracích, u stánků a v mobilních zařízeních	I/56/56.1/
56.2	Poskytování cateringových a ostatních stravovacích služeb	I/56/56.2/
56.3	Pohostinství	I/56/56.3/
58.1	Vydávání knih, periodických publikací a ostatní vydavatelské činnosti	J/58/58.1/
58.2	Vydávání softwaru	J/58/58.2/
59.1	Činnosti v oblasti filmů, videozáznamů a televizních programů	J/59/59.1/
59.2	Pořizování zvukových nahrávek a hudební vydavatelské činnosti	J/59/59.2/
60.1	Rozhlasové vysílání	J/60/60.1/
60.2	Tvorba televizních programů a televizní vysílání	J/60/60.2/
61.1	Činnosti související s pevnou telekomunikační sítí	J/61/61.1/
61.2	Činnosti související s bezdrátovou telekomunikační sítí	J/61/61.2/
61.3	Činnosti související se satelitní telekomunikační sítí	J/61/61.3/
61.9	Ostatní telekomunikační činnosti	J/61/61.9/
A	SEKCE A - ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ	A/
B	SEKCE B - TĚŽBA A DOBÝVÁNÍ	B/
C	SEKCE C - ZPRACOVATELSKÝ PRŮMYSL	C/
D	SEKCE D – VÝROBA A ROZVOD ELEKTŘINY, PLYNU, TEPLA A KLIMATIZOVANÉHO VZDUCHU	D/
E	SEKCE E – ZÁSOBOVÁNÍ VODOU; ČINNOSTI SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI	E/
F	SEKCE F - STAVEBNICTVÍ	F/
G	SEKCE G - VELKOOBCHOD A MALOOBCHOD; OPRAVY A ÚDRŽBA MOTOROVÝCH VOZIDEL	G/
H	SEKCE H - DOPRAVA A SKLADOVÁNÍ	H/
I	SEKCE I - UBYTOVÁNÍ, STRAVOVÁNÍ A POHOSTINSTVÍ	I/
J	SEKCE J - INFORMAČNÍ A KOMUNIKAČNÍ ČINNOSTI	J/
K	SEKCE K - PENĚŽNICTVÍ A POJIŠŤOVNICTVÍ	K/
L	SEKCE L - ČINNOSTI V OBLASTI NEMOVITOSTÍ	L/
M	SEKCE M - PROFESNÍ, VĚDECKÉ A TECHNICKÉ ČINNOSTI	M/
N	SEKCE N - ADMINISTRATIVNÍ A PODPŮRNÉ ČINNOSTI	N/
O	SEKCE O - VEŘEJNÁ SPRÁVA A OBRANA; POVINNÉ SOCIÁLNÍ ZABEZPEČENÍ	O/
P	SEKCE P – VZDĚLÁVÁNÍ	P/
Q	SEKCE Q - ZDRAVOTNÍ A SOCIÁLNÍ PÉČE	Q/
R	SEKCE R - KULTURNÍ, ZÁBAVNÍ A REKREAČNÍ ČINNOSTI	R/
S	SEKCE S - OSTATNÍ ČINNOSTI	S/
