kód	název	strom
4229	Pracovníci informačních služeb jinde neuvedení	4/42/422/4229/
4222	Pracovníci v zákaznických kontaktních centrech	4/42/422/4222/
4221	Pracovníci cestovního ruchu (kromě průvodců)	4/42/422/4221/
4312	Úředníci v oblasti statistiky, finančnictví a pojišťovnictví	4/43/431/4312/
4313	Mzdoví účetní	4/43/431/4313/
4311	Úředníci v oblasti účetnictví	4/43/431/4311/
4322	Úředníci ve výrobě	4/43/432/4322/
4323	Pracovníci v dopravě a přepravě	4/43/432/4323/
4321	Úředníci ve skladech	4/43/432/4321/
4412	Pracovníci poštovního provozu (kromě úředníků na přepážkách)	4/44/441/4412/
4419	Úředníci jinde neuvedení	4/44/441/4419/
4416	Personální referenti	4/44/441/4416/
4413	Korektoři, kódovači a příbuzní pracovníci	4/44/441/4413/
4411	Knihovníci	4/44/441/4411/
4415	Pracovníci evidence dat a archivů	4/44/441/4415/
5111	Stevardi a jiní obslužní pracovníci v dopravě	5/51/511/5111/
5112	Průvodčí a příbuzní pracovníci v osobní dopravě	5/51/511/5112/
5113	Průvodci, delegáti v cestovním ruchu	5/51/511/5113/
5120	Kuchaři (kromě šéfkuchařů), pomocní kuchaři	5/51/512/5120/
5131	Číšníci a servírky	5/51/513/5131/
5132	Barmani a příbuzní pracovníci	5/51/513/5132/
5141	Kadeřníci	5/51/514/5141/
5142	Kosmetici a pracovníci v příbuzných oborech	5/51/514/5142/
5152	Hospodyně v domácnostech a provozovatelé malých penzionů	5/51/515/5152/
5151	Vedoucí provozu stravovacích, ubytovacích a dalších zařízení	5/51/515/5151/
5153	Správci objektů	5/51/515/5153/
5162	Osobní sluhové a příbuzní pracovníci	5/51/516/5162/
5163	Pracovníci v pohřebnictví	5/51/516/5163/
5164	Chovatelé a ošetřovatelé zvířat v zařízeních určených pro chov a příbuzní pracovníci	5/51/516/5164/
5165	Instruktoři autoškoly	5/51/516/5165/
5169	Pracovníci v oblasti osobních služeb jinde neuvedení	5/51/516/5169/
5161	Astrologové, jasnovidci a pracovníci v příbuzných oborech	5/51/516/5161/
5211	Stánkoví prodavači potravin (kromě rychlého občerstvení)	5/52/521/5211/
5212	Pouliční prodavači rychlého občerstvení	5/52/521/5212/
5222	Vedoucí pracovních týmů v prodejnách	5/52/522/5222/
5223	Prodavači v prodejnách	5/52/522/5223/
5221	Provozovatelé maloobchodních a velkoobchodních prodejen	5/52/522/5221/
5230	Pokladníci a prodavači vstupenek a jízdenek	5/52/523/5230/
5246	Obsluha v zařízeních rychlého občerstvení	5/52/524/5246/
5249	Pracovníci v půjčovnách a ostatní pracovníci v oblasti prodeje jinde neuvedení	5/52/524/5249/
5241	Modelky a manekýni	5/52/524/5241/
5245	Obsluha čerpacích stanic a mycích linek dopravních prostředků	5/52/524/5245/
5244	Prodejci po telefonu	5/52/524/5244/
5242	Předváděči zboží	5/52/524/5242/
5243	Podomní prodejci	5/52/524/5243/
5311	Pracovníci péče o děti v mimoškolských zařízeních a domácnostech	5/53/531/5311/
5312	Asistenti pedagogů	5/53/531/5312/
5321	Ošetřovatelé a pracovníci v sociálních službách v oblasti pobytové péče	5/53/532/5321/
5322	Ošetřovatelé a pracovníci v sociálních službách v oblasti ambulantních a terénních služeb a domácí péče	5/53/532/5322/
5329	Pracovníci osobní péče ve zdravotní a sociální oblasti jinde neuvedení	5/53/532/5329/
5412	Policisté	5/54/541/5412/
5419	Pracovníci v oblasti ochrany a ostrahy jinde neuvedení	5/54/541/5419/
5413	Pracovníci vězeňské služby	5/54/541/5413/
5414	Pracovníci ostrahy a bezpečnostních agentur	5/54/541/5414/
5411	Příslušníci Hasičského záchranného sboru ČR a hasiči ostatních jednotek požární ochrany	5/54/541/5411/
6111	Pěstitelé zemědělských plodin	6/61/611/6111/
6112	Ovocnáři, vinohradníci, chmelaři a ostatní pěstitelé plodů rostoucích na stromech a keřích	6/61/611/6112/
6113	Zahradníci a pěstitelé v zahradnických školkách	6/61/611/6113/
6114	Pěstitelé smíšených plodin	6/61/611/6114/
6121	Chovatelé hospodářských zvířat (kromě drůbeže)	6/61/612/6121/
6122	Chovatelé drůbeže	6/61/612/6122/
6123	Včelaři a chovatelé bource morušového	6/61/612/6123/
6129	Chovatelé zvířat jinde neuvedení	6/61/612/6129/
6130	Pěstitelé a chovatelé ve smíšeném hospodářství	6/61/613/6130/
6210	Kvalifikovaní pracovníci v lesnictví a příbuzných oblastech	6/62/621/6210/
6223	Rybáři na moři	6/62/622/6223/
6224	Kvalifikovaní pracovníci v oblasti myslivosti	6/62/622/6224/
6222	Rybáři ve vnitrozemských a pobřežních vodách	6/62/622/6222/
6221	Kvalifikovaní pracovníci v oblasti akvakultury	6/62/622/6221/
6310	Farmáři samozásobitelé v rostlinné výrobě	6/63/631/6310/
6320	Farmáři samozásobitelé v živočišné výrobě	6/63/632/6320/
6330	Farmáři samozásobitelé ve smíšeném hospodářství	6/63/633/6330/
6340	Rybáři, lovci a sběrači samozásobitelé	6/63/634/6340/
7111	Pracovníci montovaných staveb	7/71/711/7111/
7112	Zedníci, kamnáři, dlaždiči a montéři suchých staveb	7/71/711/7112/
7113	Kameníci, řezači a brusiči kamene	7/71/711/7113/
7114	Betonáři, železobetonáři a příbuzní pracovníci	7/71/711/7114/
7115	Tesaři a stavební truhláři	7/71/711/7115/
7119	Ostatní řemeslníci a kvalifikovaní pracovníci hlavní stavební výroby	7/71/711/7119/
7121	Pokrývači	7/71/712/7121/
7126	Instalatéři, potrubáři, stavební zámečníci a stavební klempíři	7/71/712/7126/
7127	Mechanici klimatizací a chladicích zařízení	7/71/712/7127/
7124	Izolatéři	7/71/712/7124/
7122	Podlaháři a obkladači	7/71/712/7122/
7125	Sklenáři	7/71/712/7125/
7123	Štukatéři a omítkáři	7/71/712/7123/
7131	Malíři (včetně stavebních lakýrníků a natěračů), tapetáři	7/71/713/7131/
7132	Lakýrníci a natěrači (kromě stavebních)	7/71/713/7132/
7133	Pracovníci povrchového čištění budov, kominíci	7/71/713/7133/
7211	Modeláři, formíři, jádraři a slévači ve slévárnách	7/72/721/7211/
7212	Svářeči, řezači plamenem a páječi	7/72/721/7212/
7213	Pracovníci na zpracování plechu	7/72/721/7213/
7214	Montéři kovových konstrukcí	7/72/721/7214/
7215	Montéři lan a zdvihacích zařízení	7/72/721/7215/
7221	Kováři	7/72/722/7221/
7224	Brusiči, leštiči a ostřiči nástrojů a kovů	7/72/722/7224/
7222	Nástrojaři a příbuzní pracovníci	7/72/722/7222/
7223	Seřizovači a obsluha obráběcích strojů (kromě dřevoobráběcích)	7/72/722/7223/
7231	Mechanici a opraváři motorových vozidel	7/72/723/7231/
7232	Mechanici a opraváři leteckých motorů a zařízení	7/72/723/7232/
7233	Mechanici a opraváři zemědělských, průmyslových a jiných strojů a zařízení	7/72/723/7233/
7234	Mechanici a opraváři jízdních kol a příbuzní pracovníci	7/72/723/7234/
7319	Pracovníci v oblasti uměleckých a tradičních řemesel jinde neuvedení	7/73/731/7319/
7312	Výrobci a opraváři hudebních nástrojů, ladiči	7/73/731/7312/
7318	Tradiční zpracovatelé textilu, kůží a příbuzných materiálů	7/73/731/7318/
7317	Tradiční zpracovatelé dřeva, proutí a příbuzných materiálů	7/73/731/7317/
7315	Skláři, brusiči skla, výrobci bižuterie a skleněných ozdob	7/73/731/7315/
7313	Klenotníci, zlatníci a šperkaři	7/73/731/7313/
7311	Výrobci, mechanici a opraváři přesných přístrojů a zařízení	7/73/731/7311/
7314	Keramici a pracovníci v příbuzných oborech	7/73/731/7314/
7316	Malíři, rytci a příbuzní pracovníci pro zdobení skla, keramiky, kovu, dřeva a jiných materiálů	7/73/731/7316/
7321	Pracovníci přípravy tisku	7/73/732/7321/
7322	Tiskaři	7/73/732/7322/
7323	Pracovníci konečné úpravy tisku a vazači knih	7/73/732/7323/
7411	Stavební a provozní elektrikáři	7/74/741/7411/
7412	Elektromechanici	7/74/741/7412/
7413	Montéři a opraváři elektrických vedení	7/74/741/7413/
7422	Mechanici a opraváři informačních a komunikačních technologií	7/74/742/7422/
7421	Mechanici a opraváři elektronických přístrojů	7/74/742/7421/
7516	Zpracovatelé tabáku a výrobci tabákových výrobků	7/75/751/7516/
7515	Ochutnávači, degustátoři a kontroloři kvality potravin a nápojů a příbuzní pracovníci	7/75/751/7515/
7514	Zpracovatelé ovoce, zeleniny a příbuzných produktů	7/75/751/7514/
7513	Výrobci mléčných produktů	7/75/751/7513/
7511	Zpracovatelé masa, ryb a příbuzní pracovníci	7/75/751/7511/
7512	Pekaři, cukráři (kromě šéfcukrářů) a výrobci cukrovinek	7/75/751/7512/
7521	Obsluha pil a jiných zařízení na prvotní zpracování dřeva	7/75/752/7521/
7522	Truhláři (kromě stavebních) a pracovníci v příbuzných oborech	7/75/752/7522/
7523	Seřizovači a obsluha dřevoobráběcích strojů na výrobu dřevěných výrobků	7/75/752/7523/
7536	Obuvníci a příbuzní pracovníci	7/75/753/7536/
7535	Zpracovatelé kůže, koželuhové a kožišníci	7/75/753/7535/
7531	Krejčí, kožešníci a kloboučníci	7/75/753/7531/
7533	Švadleny, šičky, vyšívači a pracovníci v příbuzných oborech	7/75/753/7533/
7532	Modeláři oděvů, střihači a příbuzní pracovníci	7/75/753/7532/
7534	Čalouníci a příbuzní pracovníci	7/75/753/7534/
7542	Střelmistři	7/75/754/7542/
7543	Kvalitáři a testovači výrobků, laboranti (kromě potravin a nápojů)	7/75/754/7543/
7544	Hubitelé škůdců	7/75/754/7544/
7549	Řemeslní pracovníci a pracovníci v dalších oborech jinde neuvedení	7/75/754/7549/
7541	Potápěči	7/75/754/7541/
8111	Obsluha důlních zařízení (včetně horníků)	8/81/811/8111/
8112	Obsluha zařízení na úpravu rudných a nerudných surovin	8/81/811/8112/
8113	Vrtači a příbuzní pracovníci	8/81/811/8113/
8114	Obsluha strojů na výrobu výrobků z cementu, kamene a ostatních nerostů	8/81/811/8114/
8122	Obsluha lakovacích a jiných zařízení na povrchovou úpravu kovů a jiných materiálů	8/81/812/8122/
8121	Obsluha zařízení na zpracování kovů	8/81/812/8121/
8131	Obsluha strojů a zařízení pro chemickou výrobu	8/81/813/8131/
8132	Obsluha strojů a zařízení na výrobu a zpracování fotografických materiálů	8/81/813/8132/
8141	Obsluha strojů na výrobu a zpracování výrobků z pryže	8/81/814/8141/
8142	Obsluha strojů na výrobu a zpracování výrobků z plastu	8/81/814/8142/
8143	Obsluha strojů na výrobu a zpracování výrobků z papíru	8/81/814/8143/
8151	Obsluha strojů na úpravu vláken, dopřádání a navíjení příze a nití	8/81/815/8151/
8152	Obsluha tkacích a pletacích strojů	8/81/815/8152/
8153	Obsluha šicích a vyšívacích strojů	8/81/815/8153/
8154	Obsluha strojů na bělení, barvení, čištění a další úpravu tkanin	8/81/815/8154/
8155	Obsluha strojů na úpravu kůží a kožešin	8/81/815/8155/
8156	Obsluha strojů na výrobu obuvi a příbuzných výrobků	8/81/815/8156/
8157	Obsluha strojů v prádelnách a čistírnách	8/81/815/8157/
8159	Obsluha strojů na výrobu a úpravu textilních, kožených a kožešinových výrobků jinde neuvedená	8/81/815/8159/
8160	Obsluha strojů na výrobu potravin a příbuzných výrobků	8/81/816/8160/
8171	Obsluha strojů a zařízení na výrobu a zpracování papíru	8/81/817/8171/
8172	Obsluha automatizovaných strojů a zařízení na prvotní zpracování dřeva	8/81/817/8172/
8181	Obsluha strojů a zařízení na výrobu skla, keramiky a stavebnin	8/81/818/8181/
8182	Obsluha parních turbín, kotlů a příbuzných zařízení	8/81/818/8182/
8183	Obsluha strojů na balení, plnění a etiketování	8/81/818/8183/
8189	Obsluha stacionárních strojů a zařízení jinde neuvedená	8/81/818/8189/
8219	Montážní dělníci ostatních výrobků	8/82/821/8219/
8211	Montážní dělníci mechanických zařízení	8/82/821/8211/
8212	Montážní dělníci elektrických, energetických a elektronických zařízení	8/82/821/8212/
8311	Strojvedoucí a řidiči kolejových motorových vozíků	8/83/831/8311/
8312	Signalisti, brzdaři, výhybkáři, posunovači a příbuzní pracovníci	8/83/831/8312/
8321	Řidiči motocyklů	8/83/832/8321/
8322	Řidiči osobních a malých dodávkových automobilů, taxikáři	8/83/832/8322/
8331	Řidiči autobusů, trolejbusů a tramvají	8/83/833/8331/
8332	Řidiči nákladních automobilů, tahačů a speciálních vozidel	8/83/833/8332/
8344	Obsluha vysokozdvižných a jiných vozíků a skladníci	8/83/834/8344/
8343	Obsluha jeřábů, zdvihacích a podobných manipulačních zařízení	8/83/834/8343/
8341	Řidiči a obsluha zemědělských a lesnických strojů	8/83/834/8341/
8342	Obsluha železničních, zemních a příbuzných strojů a zařízení	8/83/834/8342/
8350	Pracovníci lodní posádky	8/83/835/8350/
9111	Uklízeči a pomocníci v domácnostech (kromě hospodyní)	9/91/911/9111/
9112	Uklízeči a pomocníci v hotelích, administrativních, průmyslových a jiných objektech	9/91/911/9112/
9121	Pracovníci pro ruční praní a žehlení	9/91/912/9121/
9122	Pracovníci pro ruční mytí vozidel a pomocní pracovníci autoservisu	9/91/912/9122/
9123	Pracovníci pro mytí oken	9/91/912/9123/
9129	Ostatní pracovníci pro ruční čištění	9/91/912/9129/
9215	Pomocní pracovníci v lesnictví a myslivosti	9/92/921/9215/
9216	Pomocní pracovníci v rybářství	9/92/921/9216/
9211	Pomocní pracovníci v rostlinné výrobě	9/92/921/9211/
9212	Pomocní pracovníci v živočišné výrobě	9/92/921/9212/
9214	Pomocní pracovníci v zahradnictví	9/92/921/9214/
9213	Pomocní pracovníci ve smíšeném hospodářství	9/92/921/9213/
9311	Pomocní pracovníci v oblasti těžby	9/93/931/9311/
9312	Figuranti, dělníci výkopových prací a dělníci v oblasti výstavby inženýrských děl	9/93/931/9312/
9313	Dělníci v oblasti výstavby budov	9/93/931/9313/
9321	Ruční baliči, plniči a etiketovači	9/93/932/9321/
9329	Ostatní pomocní pracovníci ve výrobě	9/93/932/9329/
9334	Doplňovači zboží	9/93/933/9334/
9331	Řidiči nemotorových vozidel	9/93/933/9331/
9332	Kočí	9/93/933/9332/
9333	Pomocní manipulační pracovníci (kromě výroby)	9/93/933/9333/
9411	Pracovníci pro přípravu rychlého občerstvení	9/94/941/9411/
9412	Pomocníci v kuchyni	9/94/941/9412/
9510	Pracovníci pouličního poskytování služeb	9/95/951/9510/
9520	Pouliční prodejci (kromě potravin)	9/95/952/9520/
9611	Pracovníci odvozu a recyklace odpadů	9/96/961/9611/
9612	Třídiči odpadů	9/96/961/9612/
9613	Uklízeči veřejných prostranství, čističi kanalizací a příbuzní pracovníci	9/96/961/9613/
9621	Kurýři, doručovatelé balíků a nosiči zavazadel	9/96/962/9621/
9622	Pomocní pracovníci údržby budov a souvisejících prostor	9/96/962/9622/
9623	Pracovníci provádějící odečet měřidel a výběrčí peněz z prodejních automatů	9/96/962/9623/
9629	Pomocní a nekvalifikovaní pracovníci ve službách jinde neuvedení	9/96/962/9629/
0110	Generálové a důstojníci v ozbrojených silách	0/01/011/0110/
0210	Poddůstojníci v ozbrojených silách	0/02/021/0210/
0310	Zaměstnanci v ozbrojených silách (kromě generálů, důstojníků a poddůstojníků)	0/03/031/0310/
11122	Nejvyšší státní úředníci v právní oblasti	1/11/111/1112/11122
11129	Ostatní nejvyšší státní úředníci	1/11/111/1112/11129
11127	Vedoucí kanceláře, sekretariátu ústředních orgánů	1/11/111/1112/11127
11126	Poradci prezidenta republiky, předsedy vlády a vedoucích ústředních orgánů	1/11/111/1112/11126
11125	Nejvyšší státní úředníci v oblasti veřejné správy (kromě ústředních státních orgánů)	1/11/111/1112/11125
11123	Nejvyšší státní úředníci ústředních státních orgánů	1/11/111/1112/11123
11121	Velvyslanci, konzulové a příbuzní pracovníci	1/11/111/1112/11121
11124	Nejvyšší státní úředníci obrany a bezpečnosti státu a požární ochrany	1/11/111/1112/11124
11130	Představitelé samosprávy	1/11/111/1113/11130
11140	Nejvyšší představitelé politických, zájmových a příbuzných organizací	1/11/111/1114/11140
11110	Představitelé zákonodárné a výkonné moci	1/11/111/1111/11110
11204	Členové statutárních orgánů	1/11/112/1120/11204
11203	Nejvyšší představitelé malých společností a institucí	1/11/112/1120/11203
11201	Nejvyšší představitelé velkých společností a institucí	1/11/112/1120/11201
11202	Nejvyšší představitelé středních společností a institucí	1/11/112/1120/11202
12112	Řídící pracovníci v oblasti ekonomiky a financí (kromě finančních a pojišťovacích služeb)	1/12/121/1211/12112
12113	Řídící pracovníci v oblasti účetnictví a kontrolingu	1/12/121/1211/12113
12119	Ostatní řídící pracovníci v oblasti financí (kromě finančních a pojišťovacích služeb)	1/12/121/1211/12119
12111	Ekonomičtí a finanční náměstci (ředitelé)	1/12/121/1211/12111
12121	Personální náměstci (ředitelé)	1/12/121/1212/12121
12122	Řídící pracovníci v oblasti personální	1/12/121/1212/12122
12123	Řídící pracovníci v oblasti zaměstnanosti	1/12/121/1212/12123
12129	Ostatní řídící pracovníci v oblasti lidských zdrojů	1/12/121/1212/12129
12130	Řídící pracovníci v oblasti strategie a politiky organizací	1/12/121/1213/12130
12199	Řídící pracovníci v oblasti správy podniku, administrativních a podpůrných činností jinde neuvedení	1/12/121/1219/12199
12197	Řídící pracovníci v oblasti správy školství, kultury a zdravotnictví	1/12/121/1219/12197
12196	Řídící pracovníci zahraničních vztahů a služeb, vnitřních věcí státu a regionálního rozvoje	1/12/121/1219/12196
12195	Řídící pracovníci v oblasti ochrany údajů	1/12/121/1219/12195
12194	Řídící pracovníci v oblasti racionalizace výroby a investic	1/12/121/1219/12194
12193	Řídící pracovníci v oblasti úklidu	1/12/121/1219/12193
12191	Řídící pracovníci v oblasti kvality a certifikace systémů řízení (ISO)	1/12/121/1219/12191
12192	Řídící pracovníci v oblasti hospodaření s majetkem státu a organizací	1/12/121/1219/12192
12215	Řídící pracovníci v oblasti půjčování a pronájmu movitých věcí	1/12/122/1221/12215
12219	Ostatní řídící pracovníci v oblastech příbuzných obchodu a marketingu	1/12/122/1221/12219
12211	Obchodní náměstci (ředitelé)	1/12/122/1221/12211
12213	Řídící pracovníci v oblasti marketingu	1/12/122/1221/12213
12212	Řídící pracovníci v oblasti obchodu	1/12/122/1221/12212
12214	Řídící pracovníci servisních služeb a reklamací	1/12/122/1221/12214
12222	Řídící pracovníci v oblasti styku s veřejností	1/12/122/1222/12222
12221	Řídící pracovníci v oblasti reklamy	1/12/122/1222/12221
12231	Náměstci (ředitelé) pro technický rozvoj, výzkum a vývoj	1/12/122/1223/12231
12232	Řídící pracovníci v oblasti technického rozvoje	1/12/122/1223/12232
12233	Řídící pracovníci v oblasti projektování (kromě ve stavebnictví)	1/12/122/1223/12233
12239	Ostatní řídící pracovníci v oblasti výzkumu a vývoje	1/12/122/1223/12239
13112	Řídící pracovníci v zemědělství a zahradnictví	1/13/131/1311/13112
13115	Řídící pracovníci v oblasti životního prostředí	1/13/131/1311/13115
13113	Řídící pracovníci v lesnictví a myslivosti	1/13/131/1311/13113
13111	Výrobní náměstci (ředitelé) v zemědělství, lesnictví, myslivosti a vodním hospodářství	1/13/131/1311/13111
13114	Řídící pracovníci ve vodním hospodářství (kromě úpravy a rozvodu vody)	1/13/131/1311/13114
13121	Výrobní náměstci (ředitelé) v rybářství a akvakultuře	1/13/131/1312/13121
13122	Řídící pracovníci v rybářství a akvakultuře	1/13/131/1312/13122
13211	Výrobní a techničtí náměstci (ředitelé) v průmyslové výrobě	1/13/132/1321/13211
13212	Řídící pracovníci ve zpracovatelském průmyslu	1/13/132/1321/13212
13213	Řídící pracovníci v energetice	1/13/132/1321/13213
13214	Řídící pracovníci v oblasti úpravy a rozvodu vody	1/13/132/1321/13214
13215	Řídící pracovníci v oblasti odpadů a sanací	1/13/132/1321/13215
13222	Řídící pracovníci v těžbě	1/13/132/1322/13222
13221	Výrobní a techničtí náměstci (ředitelé) v těžbě	1/13/132/1322/13221
13223	Řídící pracovníci v geologii	1/13/132/1322/13223
13232	Hlavní stavbyvedoucí	1/13/132/1323/13232
13233	Řídící pracovníci stavebního provozu	1/13/132/1323/13233
13234	Řídící pracovníci v zeměměřictví a kartografii	1/13/132/1323/13234
13235	Řídící pracovníci v oblasti projektování ve stavebnictví	1/13/132/1323/13235
13239	Ostatní řídící pracovníci ve stavebnictví	1/13/132/1323/13239
13231	Výrobní a investiční náměstci (ředitelé) ve stavebnictví	1/13/132/1323/13231
13245	Řídící pracovníci v oblasti logistiky	1/13/132/1324/13245
13249	Ostatní řídící pracovníci v oborech příbuzných dopravě a logistice	1/13/132/1324/13249
13244	Řídící pracovníci v oblasti poštovních a doručovatelských služeb	1/13/132/1324/13244
13243	Řídící pracovníci v oblasti dopravy	1/13/132/1324/13243
13242	Řídící pracovníci v oblasti skladování	1/13/132/1324/13242
13241	Řídící pracovníci v oblasti zásobování a nákupu	1/13/132/1324/13241
13302	Řídící pracovníci v oblasti informačních technologií a činností	1/13/133/1330/13302
13303	Řídící pracovníci v oblasti telekomunikačních činností	1/13/133/1330/13303
13309	Ostatní řídící pracovníci v oblasti informačních a komunikačních technologií	1/13/133/1330/13309
13301	Výrobní a techničtí náměstci (ředitelé) v oblasti informačních a komunikačních technologií	1/13/133/1330/13301
13451	Řídící pracovníci na základních školách	1/13/134/1345/13451
13459	Ostatní řídící pracovníci v oblasti vzdělávání	1/13/134/1345/13459
13456	Řídící pracovníci na školách pro žáky se speciálními vzdělávacími potřebami	1/13/134/1345/13456
13455	Řídící pracovníci na vysokých školách	1/13/134/1345/13455
13454	Řídící pracovníci na vyšších odborných školách	1/13/134/1345/13454
13452	Řídící pracovníci na středních školách	1/13/134/1345/13452
13453	Řídící pracovníci na konzervatořích	1/13/134/1345/13453
13461	Řídící pracovníci v oblasti finančních služeb	1/13/134/1346/13461
13462	Řídící pracovníci v oblasti pojišťovacích služeb	1/13/134/1346/13462
13495	Řídící pracovníci v církevní oblasti	1/13/134/1349/13495
13494	Řídící pracovníci v právní oblasti	1/13/134/1349/13494
13493	Řídící pracovníci vnitřní bezpečnosti a ochrany organizací a detektivních agentur	1/13/134/1349/13493
13491	Řídící pracovníci knihoven, muzeí a v příbuzných oblastech	1/13/134/1349/13491
13492	Řídící pracovníci obrany a bezpečnosti státu a požární ochrany	1/13/134/1349/13492
13499	Řídící pracovníci v oblasti ostatních odborných služeb	1/13/134/1349/13499
13411	Řídící pracovníci v oblasti předškolní výchovy (kromě pro žáky se speciálními vzdělávacími potřebami)	1/13/134/1341/13411
13412	Řídící pracovníci v oblasti předškolní výchovy pro žáky se speciálními vzdělávacími potřebami	1/13/134/1341/13412
13413	Řídící pracovníci v oblasti mimoškolní výchovy	1/13/134/1341/13413
13431	Náměstci v oblasti péče o seniory	1/13/134/1343/13431
13432	Primáři v oblasti péče o seniory	1/13/134/1343/13432
13433	Hlavní sestry v oblasti péče o seniory	1/13/134/1343/13433
13434	Vrchní sestry v oblasti péče o seniory	1/13/134/1343/13434
13439	Ostatní řídící pracovníci v oblasti péče o seniory	1/13/134/1343/13439
13422	Primáři v oblasti zdravotnictví	1/13/134/1342/13422
13429	Ostatní řídící pracovníci v oblasti zdravotnictví	1/13/134/1342/13429
13425	Řídící zdravotničtí pracovníci nelékařských povolání (kromě hlavních a vrchních sester)	1/13/134/1342/13425
13421	Náměstci pro zdravotní péči	1/13/134/1342/13421
13423	Hlavní sestry v oblasti zdravotnictví	1/13/134/1342/13423
13424	Vrchní sestry v oblasti zdravotnictví	1/13/134/1342/13424
13441	Řídící pracovníci v oblasti důchodových, nemocenských, sociálních a jiných dávek	1/13/134/1344/13441
13442	Řídící pracovníci v oblasti pobytových sociálních služeb (kromě péče o seniory)	1/13/134/1344/13442
13443	Řídící pracovníci v oblasti ambulantních a terénních sociálních služeb (kromě péče o seniory)	1/13/134/1344/13443
14125	Řídící pracovníci ve školních jídelnách	1/14/141/1412/14125
14126	Řídící pracovníci v menzách	1/14/141/1412/14126
14124	Řídící pracovníci cateringových společností	1/14/141/1412/14124
14123	Řídící pracovníci v kavárnách a barech	1/14/141/1412/14123
14122	Řídící pracovníci v jídelnách (kromě školních)	1/14/141/1412/14122
14121	Řídící pracovníci v restauracích	1/14/141/1412/14121
14129	Ostatní řídící pracovníci v oblasti stravovacích služeb	1/14/141/1412/14129
14111	Řídící pracovníci v hotelích	1/14/141/1411/14111
14112	Řídící pracovníci v ubytovnách (kromě studentských)	1/14/141/1411/14112
14113	Řídící pracovníci ve studentských ubytovnách	1/14/141/1411/14113
14119	Ostatní řídící pracovníci v oblasti ubytovacích služeb	1/14/141/1411/14119
14201	Řídící pracovníci v maloobchodě	1/14/142/1420/14201
14202	Řídící pracovníci ve velkoobchodě	1/14/142/1420/14202
14319	Ostatní řídící pracovníci v oblasti kultury a zábavy	1/14/143/1431/14319
14311	Řídící pracovníci v hernách, kasinech a sázkových kancelářích	1/14/143/1431/14311
14312	Řídící pracovníci v divadlech, kinech, rozhlasu a televizi	1/14/143/1431/14312
14313	Řídící pracovníci v oblasti sportu	1/14/143/1431/14313
14314	Řídící pracovníci v oblasti vydavatelství	1/14/143/1431/14314
14399	Řídící pracovníci v jiných službách	1/14/143/1439/14399
14395	Řídící pracovníci v oblasti veterinárních činností	1/14/143/1439/14395
14393	Řídící pracovníci v oblasti opravárenských služeb	1/14/143/1439/14393
14391	Řídící pracovníci v cestovních kancelářích a agenturách	1/14/143/1439/14391
14394	Řídící pracovníci v oblasti nemovitostí	1/14/143/1439/14394
14392	Řídící pracovníci v oblasti osobních služeb (čistírny, kadeřnictví, kosmetika, pohřebnictví, lázně, seznamky)	1/14/143/1439/14392
21111	Výzkumní a vývojoví vědečtí pracovníci ve fyzikálních oborech	2/21/211/2111/21111
21112	Fyzici atomoví, molekulární, nukleární	2/21/211/2111/21112
21113	Radiologičtí fyzici	2/21/211/2111/21113
21114	Astronomové, astrofyzici	2/21/211/2111/21114
21119	Ostatní specialisté v oblasti fyziky a astronomie	2/21/211/2111/21119
21120	Meteorologové	2/21/211/2112/21120
21132	Chemici anorganici	2/21/211/2113/21132
21139	Ostatní specialisté v oblasti chemie (kromě chemického inženýrství)	2/21/211/2113/21139
21135	Jaderní chemici	2/21/211/2113/21135
21133	Chemici organici	2/21/211/2113/21133
21131	Výzkumní a vývojoví vědečtí pracovníci v chemických oborech	2/21/211/2113/21131
21134	Fyzikální chemici, chemici analytici	2/21/211/2113/21134
21149	Ostatní pracovníci v oborech příbuzných geologii a geofyzice	2/21/211/2114/21149
21141	Výzkumní a vývojoví vědečtí pracovníci v geologických a příbuzných oborech	2/21/211/2114/21141
21142	Geologové	2/21/211/2114/21142
21143	Geofyzici	2/21/211/2114/21143
21144	Hydrologové	2/21/211/2114/21144
21203	Specialisté v oblasti pojistné matematiky	2/21/212/2120/21203
21202	Specialisté v oblasti statistiky	2/21/212/2120/21202
21201	Specialisté v oblasti matematiky	2/21/212/2120/21201
21318	Specialisté v laboratorních metodách	2/21/213/2131/21318
21319	Ostatní specialisté v oborech příbuzných biologii, botanice a zoologii	2/21/213/2131/21319
21317	Farmakologové, toxikologové	2/21/213/2131/21317
21316	Biochemici, biofyzici	2/21/213/2131/21316
21315	Zoologové	2/21/213/2131/21315
21314	Botanici	2/21/213/2131/21314
21313	Fyziologové, imunologové	2/21/213/2131/21313
21312	Genetici	2/21/213/2131/21312
21311	Biologové	2/21/213/2131/21311
21322	Specialisté v oblasti zootechniky	2/21/213/2132/21322
21323	Specialisté v oblasti zahradnictví	2/21/213/2132/21323
21324	Specialisté v oblasti rybářství	2/21/213/2132/21324
21325	Specialisté v oblasti lesnictví a myslivosti	2/21/213/2132/21325
21326	Specialisté v oblasti vodohospodářství	2/21/213/2132/21326
21329	Ostatní specialisté v oblasti zemědělství	2/21/213/2132/21329
21321	Specialisté v oblasti agronomie	2/21/213/2132/21321
