kód	název	strom
314	Technici v biologických oborech a příbuzných oblastech	3/31/314/
315	Technici a kontroloři v oblasti letecké a lodní dopravy	3/31/315/
321	Zdravotničtí a farmaceutičtí technici a laboranti	3/32/321/
322	Všeobecné sestry a porodní asistentky bez specializace	3/32/322/
323	Odborní pracovníci v oblasti tradiční a alternativní medicíny	3/32/323/
324	Veterinární technici a asistenti	3/32/324/
325	Ostatní odborní pracovníci v oblasti zdravotnictví	3/32/325/
331	Odborní pracovníci v ekonomických a příbuzných oborech	3/33/331/
332	Odborní pracovníci v oblasti pojišťovnictví, obchodní zástupci, nákupčí a obchodní makléři	3/33/332/
333	Zprostředkovatelé služeb	3/33/333/
334	Odborní administrativní pracovníci a asistenti	3/33/334/
335	Pracovníci veřejné správy v oblasti státních regulací	3/33/335/
341	Odborní pracovníci v oblasti právní, sociální a církevní	3/34/341/
342	Odborní pracovníci v oblasti sportu a fitness	3/34/342/
343	Odborní pracovníci v oblasti umění a kultury, šéfkuchaři	3/34/343/
351	Technici provozu a uživatelské podpory informačních a komunikačních technologií a příbuzní pracovníci	3/35/351/
352	Technici v oblasti telekomunikací a vysílání	3/35/352/
411	Všeobecní administrativní pracovníci	4/41/411/
412	Sekretáři (všeobecní)	4/41/412/
413	Pracovníci pro zadávání dat a zpracování textů	4/41/413/
421	Pokladníci ve finančních institucích, bookmakeři, půjčovatelé peněz, inkasisté pohledávek a pracovníci v příbuzných oborech	4/42/421/
422	Pracovníci informačních služeb	4/42/422/
431	Úředníci pro zpracování číselných údajů	4/43/431/
432	Úředníci v logistice	4/43/432/
441	Ostatní úředníci	4/44/441/
511	Obslužní pracovníci, průvodčí v osobní dopravě a průvodci v cestovním ruchu	5/51/511/
512	Kuchaři (kromě šéfkuchařů), pomocní kuchaři	5/51/512/
513	Číšníci, servírky, barmani a příbuzní pracovníci	5/51/513/
514	Kadeřníci, kosmetici a pracovníci v příbuzných oborech	5/51/514/
515	Provozní pracovníci	5/51/515/
516	Ostatní pracovníci v oblasti osobních služeb	5/51/516/
521	Stánkoví a pouliční prodavači potravin	5/52/521/
522	Provozovatelé maloobchodních a velkoobchodních prodejen, prodavači a příbuzní pracovníci v prodejnách	5/52/522/
523	Pokladníci a prodavači vstupenek a jízdenek	5/52/523/
524	Ostatní pracovníci v oblasti prodeje	5/52/524/
531	Pracovníci péče o děti, asistenti pedagogů	5/53/531/
532	Pracovníci osobní péče ve zdravotní a sociální oblasti	5/53/532/
541	Pracovníci v oblasti ochrany a ostrahy	5/54/541/
611	Zahradníci a pěstitelé	6/61/611/
612	Chovatelé zvířat pro trh	6/61/612/
613	Pěstitelé a chovatelé ve smíšeném hospodářství	6/61/613/
621	Kvalifikovaní pracovníci v lesnictví a příbuzných oblastech	6/62/621/
622	Kvalifikovaní pracovníci v rybářství a myslivosti	6/62/622/
631	Farmáři samozásobitelé v rostlinné výrobě	6/63/631/
632	Farmáři samozásobitelé v živočišné výrobě	6/63/632/
